C,Zn1,K1,IPA1,resp1,SO1,Zn2,K2,IPA2,resp2,SO2,Zn3,K3,IPA3,resp3,SO3
0,1.96,0.19,31.0174094950778,0.79751366295986,4.84,6.8,0.24642,16.7247395097746,0.32714784330238,5.05,1.76142697881828,0.2955,18.3988330824734,0.68634936097364,4.872
0,2.26,0.188,42.8091547067636,0.56423698984368,4.98,4.6,0.27198,16.3633972699664,0.32613417336562,5.09,2.16276477146042,0.2896,45.7292344695771,0.67482694418791,4.912
0,2.36,0.19,96.1575273386145,0.30460380578025,4.81,6.66,0.2567,,0.46855758735396,4.91,3.37792642140468,0.2805,77.4816909841644,0.65705045758577,4.967
15,3.08,0.22,70.2377269170662,0.51260384631788,5.32,8.3,0.29624,34.5824109013604,0.56815453213125,5.05,3.22742474916388,0.3273,78.1181692656913,0.73821748008903,4.917
15,2.64,0.204,61.0124571879591,0.80021487439552,5.08,3.8,0.29732,35.7378591583489,0.43752797392876,4.77,2.89297658862876,0.3105,24.632566431953,1.41816486904901,4.82
15,3.24,0.202,90.5272397583265,0.27642137291005,4.9,8.56,0.297,18.9190261505315,0.47173477209879,5.01,3.91861761426979,0.328,81.1394719340651,1.28884324221979,4.931
30,3.24,0.226,94.1617902984173,0.78766207773297,5.1,4.86,0.3494,39.3430499751854,0.53205693429849,5.27,4.28651059085842,0.3662,27.0706852139728,2.5416070532917,5.134
30,2.98,0.224,55.5076723777505,1.15614442820882,5.2,8.56,0.35504,17.2587013808584,0.4846416184362,5.36,4.58751393534002,0.3838,29.1219988834913,2.18606747915356,5.158
30,3.46,0.218,76.4831810077665,0.60043449606022,5.03,6.86,0.34866,48.8074273101819,0.58055584971532,5.26,5.10590858416945,0.3634,39.4739516089009,0.79054665570853,5.191
45,3.48,0.236,63.0033705955153,0.72495245249565,5.26,7.4,0.41404,18.8635070677532,0.81605390281273,5.63,5.13935340022297,0.3802,36.0531413686542,3.50734126830057,5.311
45,3.84,0.228,,1.33978540024932,4.95,9.16,0.42032,22.0349762422553,0.81349748628743,5.7,5.479375696767,0.3889,39.7576741053494,2.90477987175162,5.519
45,4.18,0.238,140.429097866633,0.94660257853827,5.43,10.26,0.3842,39.0317482526231,0.58184021057703,5.59,6.59977703455964,0.4034,36.1475537424009,1.20511625211107,5.439
